#{"t_start": 1764333360.1245508, "env_id": "None"}
r,l,t
28.993332,158,188055.347427
36.140003,209,188068.475809
25.206663,144,188082.41916
15.266668,198,188091.49397
8.886667,165,188105.19188
32.606663,158,188116.061919
31.906662,170,188117.108308
33.126663,155,188161.175652
37.93999,192,188186.594124
25.699997,155,188189.54763
32.77999,169,188192.215363
24.586666,144,188202.160501
42.78666,218,188213.697855
15.586666,187,188221.789948
35.199997,182,188227.659679
35.82,160,188253.990091
30.18666,148,188269.222609
15.92,149,188274.355478
31.353329,176,188287.314408
32.479996,166,188291.93076
33.426666,170,188305.958883
29.086666,153,188310.503939
38.273327,215,188340.856157
32.893326,152,188343.139772
23.293331,121,188346.928556
24.0,135,188350.07061
36.419994,170,188385.045431
37.066658,189,188405.62835
8.693334,190,188424.756164
37.886658,207,188445.200805
28.806665,167,188465.950404
29.699993,181,188469.076915
35.359993,182,188475.601988
34.706665,200,188481.820179
34.13999,180,188521.059026
37.133327,193,188547.702884
31.486664,163,188560.589323
31.706665,216,188582.686899
29.926664,168,188593.099135
34.626663,182,188597.03168
32.133327,166,188597.03168
37.973324,202,188609.713088
24.36,139,188622.528645
28.439997,146,188664.890536
28.733332,162,188687.495266
11.699999,162,188710.595256
26.146662,154,188721.210915
28.893328,159,188725.154811
30.00666,169,188728.866186
31.546661,153,188734.090336
26.886662,176,188769.421083
24.239998,156,188798.180512
31.733334,144,188814.446974
3.9733334,92,188816.656083
11.533333,100,188847.72443
31.373325,169,188849.632882
28.17333,161,188855.058363
28.593332,159,188856.302999
33.719997,173,188858.649575
25.333332,143,188893.840635
30.353329,187,188937.778368
35.479992,186,188939.052354
25.659998,138,188940.846938
10.699999,131,188942.118853
24.466667,164,188964.452985
15.173334,184,188968.917426
33.8,181,188971.673958
28.49333,175,189009.19074
24.35333,151,189042.758788
32.35333,176,189058.899611
33.16666,185,189067.00269
20.046665,191,189072.069843
29.11333,159,189080.13382
33.56,174,189092.832989
34.379993,189,189095.873578
31.87333,144,189108.956663
25.4,124,189135.43355
37.026665,176,189150.508154
28.179995,134,189151.270985
26.986668,159,189190.25412
32.986664,209,189195.070241
32.659996,173,189218.416351
40.426666,226,189223.412109
37.71333,224,189239.400007
34.199997,203,189267.93456
34.72666,183,189272.777435
33.70666,192,189280.792939
15.419992,159,189301.530142
35.513332,179,189309.963717
24.53333,139,189313.944877
15.460001,153,189319.640464
23.779991,215,189377.529337
32.66666,166,189380.520096
23.179995,175,189381.339839
27.593332,143,189390.647573
23.300001,137,189396.135545
24.186666,128,189399.291527
41.566658,192,189401.277034
34.533333,172,189419.404669
20.646666,130,189449.863852
27.979996,150,189482.885969
27.393335,147,189482.885969
32.886665,160,189486.282164
35.819992,193,189491.255629
42.326664,212,189499.500771
32.753334,190,189502.176139
29.58667,161,189513.164362
21.039999,122,189551.41418
20.779999,122,189553.455048
37.93333,197,189562.869377
31.439999,153,189567.830392
17.9,140,189574.632023
38.166664,172,189582.883084
32.326664,169,189589.436582
31.30666,165,189597.325964
32.586666,140,189620.075391
23.53333,128,189623.272705
19.653334,119,189629.349258
23.093332,134,189630.883578
35.126667,175,189640.294938
28.999996,140,189652.560552
28.066662,152,189676.142596
35.78,170,189677.778679
21.539999,132,189693.771596
33.393326,177,189723.721231
33.779995,183,189735.859281
33.08666,182,189738.106263
27.026665,168,189738.106263
33.266666,163,189747.55531
27.386667,152,189763.206815
38.54,207,189793.422684
31.573326,200,189803.805772
24.12,128,189805.587117
34.87333,179,189830.268006
35.92,201,189833.214145
16.1,143,189841.868632
35.35333,192,189843.453722
37.466663,176,189844.555348
32.539993,163,189914.152893
32.493332,194,189921.965069
26.373333,127,189928.20529
34.886665,170,189960.395935
29.899996,160,189965.091739
42.73999,229,189966.997208
33.779995,184,189977.925536
36.999992,198,189987.401075
27.759998,141,190045.05229
37.493332,195,190049.668073
32.36666,215,190059.28696
38.45333,209,190067.367705
23.87333,168,190071.913364
18.839998,167,190082.524569
35.919994,188,190082.524569
34.653328,196,190116.678814
13.660001,168,190173.381511
35.979996,176,190174.470266
34.01999,182,190200.058951
33.23333,166,190200.058951
39.886665,215,190240.849479
18.539993,203,190251.255726
33.766663,172,190262.865593
29.459991,226,190270.732402
16.193335,150,190298.347231
30.939995,160,190303.732256
31.179996,171,190327.732163
27.006664,148,190343.618643
29.16666,211,190358.102343
33.339993,161,190361.745906
27.67333,180,190384.469355
25.266666,135,190390.725711
28.853333,149,190404.105852
32.48666,210,190408.598968
22.179996,132,190428.32919
27.419998,167,190438.849538
28.853334,152,190459.798475
35.89333,170,190468.696333
30.626663,163,190496.445212
31.313328,187,190507.848729
32.266663,181,190528.458759
37.799995,180,190533.098222
23.286669,131,190555.713245
33.246666,174,190564.796216
16.693325,224,190590.260612
36.486664,192,190606.108071
